Model	Metric	N_Folds	Mean	Std	SE	CI_Lower_95pct	CI_Upper_95pct	CI_Width
Ridge	R2	5	0.3641611456871033	0.0291292464888032	0.0130269950564622	0.3279924090271528	0.4003298823470537	0.0723374733199009
Lasso	R2	5	0.3674302697181701	0.0268121708071719	0.0119907673098343	0.3341385625132147	0.4007219769231256	0.0665834144099108
ElasticNet	R2	5	0.365868353843689	0.0279150842003378	0.0124840051739171	0.3312071987853027	0.4005295089020752	0.0693223101167724
RandomForest	R2	5	0.3590272868089552	0.0144584287596744	0.006466005910894	0.3410747763474734	0.3769797972704369	0.0359050209229634
GradientBoosting	R2	5	0.3746450813439153	0.014881943479393	0.0066554074514465	0.3561667079022497	0.3931234547855808	0.0369567468833311
XGBoost	R2	5	0.3665288090705871	0.0153735692903539	0.0068752691980069	0.3474400015588636	0.3856176165823107	0.038177615023447
LightGBM	R2	5	0.3632172105152877	0.0175150230583476	0.0078329564371883	0.3414694369560286	0.3849649840745468	0.0434955471185182
CatBoost	R2	5	0.3893997876767453	0.0117602110102204	0.0052593262497188	0.374797557054075	0.4040020182994156	0.0292044612453405
FTTransformer	R2	5	0.38264	0.0164037495713632	0.0073359798254902	0.3622720547216878	0.4030079452783122	0.0407358905566244
SAINT	R2	5	0.38262	0.0150336954871382	0.0067232730124545	0.363953201553662	0.4012867984463379	0.0373335968926759
LogisticRegression	AUROC	5	0.8337079801371097	0.0121211537612811	0.0054207447551903	0.8186575798950347	0.8487583803791846	0.0301008004841498
RandomForest	AUROC	5	0.8259457581791484	0.0087158205229904	0.0038978334338188	0.8151236376209456	0.8367678787373511	0.0216442411164055
GradientBoosting	AUROC	5	0.8315192723312522	0.0108965923281742	0.00487310423378	0.8179893659342549	0.8450491787282496	0.0270598127939947
XGBoost	AUROC	5	0.8304721564186022	0.0107948138845155	0.004827587530047	0.817068624650889	0.8438756881863153	0.0268070635354262
LightGBM	AUROC	5	0.827351163988388	0.0096559499136195	0.0043182720788372	0.8153617186121879	0.8393406093645882	0.0239788907524003
CatBoost	AUROC	5	0.8340353312667753	0.0103036086684777	0.0046079138792544	0.8212417113315462	0.8468289512020044	0.0255872398704581
FTTransformer	AUROC	5	0.83162	0.0092464587816093	0.0041351420773656	0.8201390050200007	0.8431009949799994	0.0229619899599986
SAINT	AUROC	5	0.8288399999999999	0.006694251265078131	0.002993760177435733	0.8205279892092224	0.8371520107907774	0.01662402158155496
